url_path,views_total,views_unique
/immich-app/immich,14120,9310
/immich-app/immich/issues,1448,437
/immich-app/immich/pulls,950,177
/immich-app/immich/blob/main/design/login-screen.png,486,461
/immich-app/immich/blob/main/design/web-home.jpeg,377,351
/immich-app/immich/tree/main/docker,348,221
/immich-app/immich/tree/main/server,316,263
/immich-app/immich/releases,309,192
/immich-app/immich/blob/main/docker/docker-compose.yml,306,182
/immich-app/immich/blob/main/design/backup-screen.png,258,253
